Monpunks GTD

Discord ID | discord username
1226802111954817067 | patricia6534y_15781
740591033322045492 | anirvande2008
1272294989161955410 | miftapain
1152671542975664200 | geniucity_1
642779429411618836 | marioti
1286867323747172383 | snowie90.
680041791780814854 | razeeec
1322888484096311317 | slayer033902
961202772336836629 | 0xkosmin
1080482878888083536 | 0xsarahive
893681837245886504 | kylan3413
1183718144662048808 | lady_mirano
806249930199924737 | vandercp
1098610771333746730 | jsmithguru
1314655017499889754 | 0xibix


Monpunks FCFS

Discord ID | discord username
972981767323676682 | macariocripto
1286867323747172383 | snowie90.
1406654764149903421 | priceyasfock
957874992970879037 | asnet7
738657531911733289 | cosmiiicc
928617053722656818 | andrei019780
953167674324688957 | trailblazer3063
445682887455539210 | jade20000916
1276935245874204770 | debobbyy
1312097145893158962 | freakyweb4
1096428474077560952 | darkjesuss
1152671542975664200 | geniucity_1
698579759470477352 | rsl68
1131166416423366656 | owl2507
816409283235020800 | cosmin_1


Mystics GTD

Discord ID | discord username
837006622593122326 | arnaldocrypto
857917339524530176 | cristypuiu
1333061101507579944 | morpheusmatrix_
952628975551791174 | orvandis
1320814652401127466 | joy4191.
1072991362925994185 | lara100_
997499241909981286 | monurohila
740591033322045492 | anirvande2008
1253742997137526859 | maxii224
958214775056236604 | archeri0n


Mystics FCFS

Discord ID | discord username
1422718992665018430 | alyxstar71
1239251347891814522 | parsaabtzz
1342199047502565531 | 1x_rogue_13
839648060824092672 | krahbtc
978464684497854534 | nubestbr


Loot Go GTD

Discord ID | discord username
779082870949019668 | rikoo9899
1060794031631777803 | trade_600
885432584396505108 | millioncrypto04
1136732827916959926 | lukich1
1103372677005181089 | francis1000
1406882040619733103 | haal6531
1019552456197275669 | teddypumpkin
1206619028269961298 | silencer2334
1301291102799790080 | freakyweb3_76687
893682926162694185 | sliverrice
740591033322045492 | anirvande2008
1131215521107415131 | linhkutexinh
1187810835855323197 | rooya00
415119313058398213 | bb0832
1334714483486101539 | cryptopinkjava
602241327920447594 | bigsbt
1274898571510157383 | fomo_god
759053031718780928 | blackjinyt
1342199110958059580 | rustyrog_99
1277455390426009601 | noteku_29


Loot Go FCFS

Discord ID | discord username
1103372677005181089 | francis1000
886940460164194335 | vera2205
1131209977160273991 | gaobac0925
1320814652401127466 | joy4191.
1311363769800065034 | 0x_uznik
1221458608550576190 | ogwolfcrypto
942862042564546621 | otkatizakati
1126593640681181204 | void.nom.ad
1170898439492599901 | uch1ha_13
278070455414292480 | smtngfishy
893681837245886504 | kylan3413
917848325892501526 | dobby_xyz
332988026374324225 | howtosleep.
1422718992665018430 | alyxstar71
343114878074224640 | stake_mars
602241327920447594 | bigsbt
1318991277366181974 | thenima
1163201156575666206 | lark7890_61802
865899015668498442 | osotnas123
1166321620898553857 | r_ysf
926606310605225984 | pereebu
818443287395565579 | bond4362
1184222267606044763 | jawirhitam1
1261492180422234164 | sycogirl09087
1060794031631777803 | trade_600
832953276068528149 | trinityxd0
978396199830835210 | j8yus
948746684018606090 | shadow_puddle
839648060824092672 | krahbtc
1051518387915849788 | dmgballer


The 10k Squad (GTD)

Discord ID | discord username
1272294989161955410 | miftapain
1165000277913509968 | 0x7shanks
504689198352171038 | w1se.
1286867323747172383 | snowie90.
1334714483486101539 | cryptopinkjava
1202642183488806932 | forret1
997499241909981286 | monurohila
857917339524530176 | cristypuiu
332988026374324225 | howtosleep.
1340682898029678676 | bockopoc_81234
865678798175731773 | ph_zmn
1305885398995832903 | om.eth
1262779385275093047 | abdul_1319929
1231662320891986021 | rivalsavior
1335373302780268566 | felisemia
1198540376940761188 | patryktz
178591971151970304 | zalim_2.0
924458397213020220 | 6rjqax6cl4gz
1216283953107959839 | anuj014464
928617053722656818 | andrei019780


The 10k Squad (FCFS)

Discord ID | discord username
1406654764149903421 | priceyasfock
837584978099437609 | julia1988
680076300337152000 | jomahstm
886940460164194335 | vera2205
893682926162694185 | sliverrice
417272160755908609 | maxgalll
344931165548969994 | punisherpleak
738657531911733289 | cosmiiicc
1098610771333746730 | jsmithguru
876695589872611419 | mcnftfullforce


Salmoheroo GTD

Discord ID | discord username
660226429396451338 | structure8849
680076300337152000 | jomahstm
1117508071221108959 | nash_nx
1072991362925994185 | lara100_
1173332236590915644 | dreylord999
1350065235016290347 | redwooddawg_29277
1071630438013095936 | amirrrzz
1046431156813451334 | accredited01
684438739782598688 | gojnads
1269993290422550559 | mehadihasan69
